Jonathan Herrera,2B,0.45,2900,CHC,NYM
Cameron Rupp,C,0.45,3100,PHI,PIT
Eddie Rosario,OF,0.43,3500,MIN,@ DET
Aaron Hicks,OF,0.42,3600,MIN,@ DET
Pete Kozma,SS,0.42,2600,STL,@ CLE
Nick Swisher,1B,0.41,3400,CLE,STL
Jeff Francoeur,OF,0.41,2900,PHI,PIT
Adam Rosales,2B,0.4,2900,TEX,KC
Tony Cruz,C,0.39,2700,STL,@ CLE
Brett Hayes,C,0.38,2800,CLE,STL
Bryan Holaday,C,0.36,3000,DET,MIN
Chris Herrmann,C,0.34,2900,MIN,@ DET
Drew Butera,C,0.27,2700,KC,@ TEX
Doug Bernier,SS,0.14,3000,MIN,@ DET
