Davone Bess,CLE,0,0,0,50.4,536.1,2.8,0.6,69.5
Riley Cooper,PHI,1.5,8.4,0.1,35.8,471.7,3.3,0.3,67.8
Josh Morgan,WAS,2.5,14.8,0.1,38.4,491.7,2.8,0.1,67.5
Nate Washington,TEN,0.3,4,0,33.6,494.4,3,0.3,67.2
Dexter McCluster,KC,10.5,57.2,0,51.4,520.3,2,1.5,67
Markus Wheaton,PIT,4.1,24,0,33.6,469.3,2.9,0.1,66.6
Keenan Allen,SD,1,6,0,34.8,467.6,3.1,0.1,65.8
Jarius Wright,MIN,4.4,27.1,0.1,35.5,450.6,2.3,0.3,61.6
Leonard Hankerson,WAS,0.7,5.3,0,32.7,442,2.5,0.4,58.8
Kenny Stills,NO,0,0,0,29.6,412.6,3,0.5,58.4
Brian Quick,STL,0,0,0,29.7,442,2,0.5,55.5
Jason Avant,PHI,1.5,8.4,0.1,41.8,469.2,1.5,0.8,55.4
Brandon Stokley,BAL,0,0,0,34.6,424.2,2.1,0,55.2
Braylon Edwards,NYJ,0,0,0,30.3,402,2.5,0.1,55
Jacoby Ford,OAK,5.7,45.7,0.3,28.1,390.5,1.7,0.5,55
Terrance Williams,DAL,0,0,0,30.2,421.8,1.9,0.1,53.5
Earl Bennett,CHI,0,0,0,32.9,396.8,2.1,0.1,52
Harry Douglas,ATL,0.3,1.3,0,33.8,416.9,1.5,0,50.7
Julian Edelman,NE,4,34.3,0.1,27.1,370.1,1.9,0.7,50.6
Laurent Robinson,FA,0,0,0,0,384,2,0,50.4
Doug Baldwin,SEA,0,0,0,27,349.6,2.6,0.1,50.3
Andrew Hawkins,CIN,3.3,16.1,0,32.9,381.7,1.6,0,49.5
Domenik Hixon,CAR,0,0,0,26.6,362.3,2.2,0,49.5
T.J. Graham,BUF,1,9,0,29.4,388.8,1.6,0.3,48.8
Eddie Royal,SD,1.7,11.7,0,33.2,379.3,1.9,0.8,48.6
Damaris Johnson,PHI,2.3,12.6,0.1,26.5,369.4,1.9,0.9,48
Jon Baldwin,SF,1.5,8.2,0.1,24.2,360.6,1.9,0.2,48
Austin Pettis,STL,0,0,0,29.7,356.9,2.1,0.4,47.7
Austin Collie,SF,0,0,0,25.1,306.3,2.8,0,47.2
Justin Hunter,TEN,0,0,0,23,361.3,1.9,0.8,45.9
Juron Criner,OAK,0,0,0,26,353.9,1.6,0,45.2
Randy Moss,FA,0,0,0,0,323,2,0,44.3
Jerricho Cotchery,PIT,0,0,0,29.3,361.6,1.2,0,43.4
Kevin Ogletree,TB,0.7,4.3,0,24.9,332.3,1.6,0.1,43
Percy Harvin,SEA,5.6,34.7,0,23.8,292.6,1.8,0.6,42.6
Mario Manningham,SF,0,0,0,20.9,313.1,1.9,0.3,42.2
Travis Benjamin,CLE,1.9,10.3,0,19,317.2,1.6,0.7,41.2
Michael Crabtree,SF,0,0,0,19.3,264.8,2.4,0,41
Dwayne Harris,DAL,0,0,0,23.2,318.8,1.4,0,40.1
Jordan Shipley,JAC,0,0,0,31.3,323.4,1.3,0,40.1
Ace Sanders,JAC,0,0,0,23.8,311.3,1.4,0.3,39.1
Jerome Simpson,MIN,0,0,0,23.3,319.1,1.4,0.6,38.9
