Peter Bourjos,OF,0.61,2400,STL,@ CLE
Mark Reynolds,1B,0.55,2600,STL,@ CLE
Pete Kozma,SS,0.42,2200,STL,@ CLE
Tony Cruz,C,0.39,2200,STL,@ CLE
Prince Fielder,1B,3.28,3100,TEX,KC
Shin-Soo Choo,OF,3.18,3100,TEX,KC
Adrian Beltre,3B,3.08,3100,TEX,KC
Carlos Peguero,OF,2.42,2800,TEX,KC
Mitch Moreland,OF,2.35,2200,TEX,KC
Tommy Field,3B,2.14,2200,TEX,KC
Leonys Martin,OF,2.07,2800,TEX,KC
Robinson Chirinos,C,2.06,2500,TEX,KC
Elvis Andrus,SS,2.02,2600,TEX,KC
Kyle Blanks,OF,0.62,2700,TEX,KC
Jake Smolinski,OF,0.54,2200,TEX,KC
Delino DeShields,OF,0.51,3100,TEX,KC
Carlos Corporan,C,0.5,2200,TEX,KC
Adam Rosales,2B,0.4,2200,TEX,KC
