Brent Celek,TE,PHI,7,5.4,5,1.4,12.6,0,12.6,5.3,4,0,2,57.1,0,28.6
Brandon Pettigrew,TE,DET,7,5,7.2,8.2,8.9,-0.4,9.3,3.8,1,0,0,14.3,0,0
Sean McGrath,TE,KC,7,4.6,2.7,0.6,14.9,0,14.9,5.4,3,0,1,42.9,0,14.3
Mychal Rivera,TE,OAK,6,4.3,1.5,2,11.4,1,10.4,3.7,4,0,0,66.7,0,0
Timothy Wright,TE,TB,6,3.8,7.6,2.5,12.6,0,12.6,5,4,0,1,66.7,0,16.7
Zach Ertz,TE,PHI,7,3.7,4.1,4.8,6.8,1,5.8,2,3,0,0,42.9,0,0
Rob Housler,TE,ARI,5,3.7,4.7,8.8,8.8,0,8.8,3.4,3,0,0,60,0,0
Clay Harbor,TE,JAX,7,3.4,2.4,0,10.9,0,10.9,3.8,5,0,0,71.4,0,0
Anthony Fasano,TE,KC,3,3.4,4.7,,4.7,1.8,2.9,1.5,2,0,0,66.7,0,0
Jim Dray,TE,ARI,7,3,3.5,1.3,8.3,0,8.3,3,5,0,0,71.4,0,0
Levine Toilolo,TE,ATL,6,2.8,4.3,8.5,8.5,0,8.5,3.8,4,0,0,66.7,0,0
Tony Scheffler,TE,DET,5,2.3,7.5,,7.5,0,7.5,3.1,4,0,0,80,0,0
Gavin Escobar,TE,DAL,7,2.1,1,0,8.9,0,8.9,3.2,6,0,0,85.7,0,0
Cory Harkey,TE,STL,6,2.1,3.8,2.4,6.7,0,6.7,2.5,5,0,0,83.3,0,0
Ladarius Green,TE,SD,7,2,2.7,5,5.8,0,5.8,2.6,5,0,0,71.4,0,0
Michael Hoomanawanui,TE,NE,7,1.9,2.8,0,7.7,0,7.7,2.9,5,0,0,71.4,0,0
Logan Paulsen,TE,WAS,5,1.9,0,0,7.1,0,7.1,3.1,4,0,0,80,0,0
Ed Dickson,TE,BAL,7,1.8,2.9,2.7,6.1,0,6.1,2.2,6,0,0,85.7,0,0
David Johnson,TE,PIT,5,1.8,0,0,6.1,0,6.1,2.5,4,0,0,80,0,0
Marcedes Lewis,TE,JAX,2,1.8,3.6,,3.6,0,3.6,2.5,2,0,0,100,0,0
Kellen Davis,TE,SEA,6,1.8,2.2,6.6,6.6,0,6.6,2.9,4,0,0,66.7,0,0
Vance McDonald,TE,SF,7,1.7,1.2,2.5,3,0,3,1,7,0,0,100,0,0
Allen Reisner,TE,JAX,5,1.3,0,,4.6,0,4.6,2,4,0,0,80,0,0
David Paulson,TE,PIT,6,1.3,1.1,2.2,4.4,0,4.4,1.8,5,0,0,83.3,0,0
Jeron Mastrud,TE,OAK,6,1.3,0.9,1.8,4.6,0,4.6,1.8,5,0,0,83.3,0,0
Kevin Brock,TE,KC,4,1.3,0.7,1.4,3.7,0,3.7,1.7,4,0,0,100,0,0
Dion Sims,TE,MIA,6,1.1,0,0,6.6,0,6.6,2.7,5,0,0,83.3,0,0
Matthew Mulligan,TE,NE,6,1.1,0,0,6.6,0,6.6,2.7,5,0,0,83.3,0,0
Fred Davis,TE,WAS,4,1,0,0,3.2,0,3.2,1.5,4,0,0,100,0,0
Bear Pascoe,TE,NYG,7,1,1.4,0.9,2.2,0,2.2,0.9,6,0,0,85.7,0,0
Tom Crabtree,TE,TB,2,1,1,1.9,1.9,0,1.9,1.3,2,0,0,100,0,0
Dominique Jones,TE,IND,6,0.9,0,0,2.6,0,2.6,1.2,5,0,0,83.3,0,0
Andrew Quarless,TE,GB,6,0.8,0,0,3.6,0,3.6,1.5,6,0,0,100,0,0
