"WR","DeSean Jackson",5300,"Phi@Was 07:10PM ET",0
"QB","Nick Foles",5300,"Phi@Was 07:10PM ET",0
"RB","Shane Vereen",5200,"NE@Buf 01:00PM ET",0
"QB","Geno Smith",5200,"TB@NYJ 01:00PM ET",0
"WR","Lance Moore",5200,"Atl@NO 01:00PM ET",0
"QB","EJ Manuel",5200,"NE@Buf 01:00PM ET",0
"QB","Kevin Kolb",5200,"NE@Buf 01:00PM ET",0
"WR","Greg Jennings",5200,"Min@Det 01:00PM ET",0
"QB","Mark Sanchez",5200,"TB@NYJ 01:00PM ET",0
"WR","Mike Williams (TB)",5100,"TB@NYJ 01:00PM ET",0
"QB","Matt Flynn",5100,"Oak@Ind 01:00PM ET",0
"QB","Dominique Davis",5000,"Atl@NO 01:00PM ET",0
"QB","Brian Hoyer",5000,"Mia@Cle 01:00PM ET",0
"QB","Tim Tebow",5000,"NE@Buf 01:00PM ET",0
"QB","Pat White",5000,"Phi@Was 07:10PM ET",0
"QB","Matt Moore",5000,"Mia@Cle 01:00PM ET",0
"WR","Denarius Moore",5000,"Oak@Ind 01:00PM ET",0
"QB","Curtis Painter",5000,"NYG@Dal 08:30PM ET",0
"QB","Graham Harrell",5000,"GB@SF 04:25PM ET",0
"QB","Chase Daniel",5000,"KC@Jac 01:00PM ET",0
"QB","Stephen McGee",5000,"Hou@SD 10:20PM ET",0
"QB","Tyler Thigpen",5000,"NE@Buf 01:00PM ET",0
"QB","Brady Quinn",5000,"Sea@Car 01:00PM ET",0
"QB","Drew Stanton",5000,"Ari@StL 04:25PM ET",0
"QB","Ryan Mallett",5000,"NE@Buf 01:00PM ET",0
"QB","John Parker Wilson",5000,"Ten@Pit 01:00PM ET",0
"QB","Mike Kafka",5000,"KC@Jac 01:00PM ET",0
"QB","Josh Johnson",5000,"Cin@Chi 01:00PM ET",0
"QB","John Skelton",5000,"Cin@Chi 01:00PM ET",0
"QB","Vince Young",5000,"GB@SF 04:25PM ET",0
"QB","T.J. Yates",5000,"Hou@SD 10:20PM ET",0
"QB","Luke McCown",5000,"Atl@NO 01:00PM ET",0
"QB","Tarvaris Jackson",5000,"Sea@Car 01:00PM ET",0
"QB","Matt Leinart",5000,"Oak@Ind 01:00PM ET",0
